Alarm#,String ID,vCenter Alarm
alarm-1,alarm.HostConnectionStateAlarm,Host connection and power state
alarm-10,alarm.VmNoCompatibleHostForSecondaryAlarm,No compatible host for Secondary VM
alarm-100,alarm.SubscriptionLicenseExpiredVc,Expired vCenter Server time-limited license
alarm-101,alarm.SubscriptionLicenseExpiredHost,Expired host time-limited license
alarm-102,alarm.SubscriptionLicenseExpiredVsan,Expired Virtual SAN time-limited license
alarm-103,alarm.VmMacConflictAlarm,VM MAC Conflict
alarm-104,alarm.DBHealthAlarm,Database Health Alarm
alarm-105,alarm.HostIpConflictAlarm,Host IP Address Conflict Alarm
alarm-106,alarm.VCHAHealthAlarm,vCenter HA Cluster Health Alarm
alarm-107,alarm.vsan.health.test.stretchedcluster.clusterwithouttwodatafaultdomains,Virtual SAN Health Alarm Unexpected number of fault domains
alarm-108,alarm.vsan.health.test.network.hostdisconnected,Virtual SAN Health Alarm Hosts disconnected from VC
alarm-109,alarm.vsan.health.test.stretchedcluster,Virtual SAN Health Alarm Stretched cluster health
alarm-11,alarm.ProcessorHealthAlarm,Host processor status
alarm-110,alarm.vsan.health.test.limits.limit0hf,Virtual SAN Health Alarm Current cluster situation
alarm-111,alarm.vsan.health.test.iscsi.iscsiHomeObjectStatusTest,Virtual SAN Health Alarm Home object
alarm-112,alarm.vsan.health.test.limits,Virtual SAN Health Alarm Limits health
alarm-113,alarm.vsan.health.test.cluster.advcfgsync,Virtual SAN Health Alarm Advanced Virtual SAN configuration in sync
alarm-114,alarm.vsan.health.test.network.unexpectedmember,Virtual SAN Health Alarm Unexpected Virtual SAN cluster members
alarm-115,alarm.vsan.health.test.cluster.healtheaminstall,Virtual SAN Health Alarm ESX Virtual SAN Health service installation
alarm-116,alarm.vsan.health.test.stretchedcluster.hostunicastagentunset,Virtual SAN Health Alarm Unicast agent not configured
alarm-117,alarm.vsan.health.test.cluster.upgradelowerhosts,Virtual SAN Health Alarm Disk format version
alarm-118,alarm.vsan.health.test.network.largeping,Virtual SAN Health Alarm MTU check (ping with large packet size)
alarm-119,alarm.vsan.health.test.stretchedcluster.witnesspreferredfaultdomainnotexist,Virtual SAN Health Alarm Preferred fault domain unset
alarm-12,alarm.MemoryHealthAlarm,Host memory status
alarm-120,alarm.vsan.health.test.physicaldisks.componentmetadata,Virtual SAN Health Alarm Component metadata health
alarm-121,alarm.vsan.health.test.network.multicastdeepdive,Virtual SAN Health Alarm Active multicast connectivity check
alarm-122,alarm.vsan.health.test.hcl.hcldbuptodate,Virtual SAN Health Alarm Virtual SAN HCL DB up-to-date
alarm-123,alarm.vsan.health.test.physicaldisks.physdiskcapacity,Virtual SAN Health Alarm Disk capacity
alarm-124,alarm.vsan.health.test.perfsvc.collection,Virtual SAN Health Alarm Performance data collection
alarm-125,alarm.vsan.health.test.hcl.hclhostbadstate,Virtual SAN Health Alarm Host issues retrieving hardware info
alarm-126,alarm.vsan.health.test.cluster.physdiskdedupusage,Virtual SAN Health Alarm Space efficiency usage health
alarm-127,alarm.vsan.health.test.overallsummary,Virtual SAN Health Service Alarm for Overall Health Summary
alarm-128,alarm.vsan.health.test.network.vsanvmknic,Virtual SAN Health Alarm All hosts have a Virtual SAN vmknic configured
alarm-129,alarm.vsan.health.test.physicaldisks.physdiskcongestion,Virtual SAN Health Alarm Congestion
alarm-13,alarm.FanHealthAlarm,Host hardware fan status
alarm-130,alarm.vsan.health.test.perfsvc.renameddirs,Virtual SAN Health Alarm Stats DB object conflicts
alarm-131,alarm.vsan.health.test.physicaldisks.physdiskcomplimithealth,Virtual SAN Health Alarm Physical disk component limit health
alarm-132,alarm.vsan.health.test.hcl.controlleronhcl,Virtual SAN Health Alarm SCSI Controller on Virtual SAN HCL
alarm-133,alarm.vsan.health.test.network.multicastsettings,Virtual SAN Health Alarm All hosts have matching multicast settings
alarm-134,alarm.vsan.health.test.data.vmhealth,Virtual SAN Health Alarm Virtual SAN VM health
alarm-135,alarm.vsan.health.test.perfsvc.masterexist,Virtual SAN Health Alarm Stats master election
alarm-136,alarm.vsan.health.test.hcl.controllerreleasesupport,Virtual SAN Health Alarm Controller Release Support
alarm-137,alarm.vsan.health.test.network.hostconnectivity,Virtual SAN Health Alarm Hosts with connectivity issues
alarm-138,alarm.vsan.health.test.network.clusterpartition,Virtual SAN Health Alarm Virtual SAN cluster partition
alarm-139,alarm.vsan.health.test.hcl.controllercache,Virtual SAN Health Alarm Controller Cache Setting
alarm-14,alarm.VoltageHealthAlarm,Host hardware voltage
alarm-140,alarm.vsan.health.test.data,Virtual SAN Health Alarm Data health
alarm-141,alarm.vsan.health.test.limits.limit1hf,Virtual SAN Health Alarm After 1 additional host failure
alarm-142,alarm.vsan.health.test.physicaldisks.physdisksoftware,Virtual SAN Health Alarm Software state health
alarm-143,alarm.vsan.health.test.network,Virtual SAN Health Alarm Network health
alarm-144,alarm.vsan.health.test.network.vsanenabled,Virtual SAN Health Alarm Hosts with Virtual SAN disabled
alarm-145,alarm.vsan.health.test.stretchedcluster.hostwithinvalidunicastagent,Virtual SAN Health Alarm Invalid unicast agent
alarm-146,alarm.vsan.health.test.physicaldisks.physdiskoverall,Virtual SAN Health Alarm Overall disks health
alarm-147,alarm.vsan.health.test.stretchedcluster.clusterwithoutonewitnesshost,Virtual SAN Health Alarm Witness host not found
alarm-148,alarm.vsan.health.test.network.matchingsubnet,Virtual SAN Health Alarm All hosts have matching subnets
alarm-149,alarm.vsan.health.test.cluster.upgradesoftware,Virtual SAN Health Alarm Software version compatibility
alarm-15,alarm.TemperatureHealthAlarm,Host hardware temperature status
alarm-150,alarm.vsan.health.test.network.smallping,Virtual SAN Health Alarm Basic (unicast) connectivity check (normal ping)
alarm-151,alarm.vsan.health.test.hcl.autohclupdate,Virtual SAN Health Alarm Virtual SAN HCL DB Auto Update
alarm-152,alarm.vsan.health.test.network.multicastsuspected,Virtual SAN Health Alarm Multicast assessment based on other checks
alarm-153,alarm.vsan.health.test.cluster.healthversion,Virtual SAN Health Alarm Virtual SAN Health Service up-to-date
alarm-154,alarm.vsan.health.test.cluster.diskbalance,Virtual SAN Health Alarm Virtual SAN disk balance
alarm-155,alarm.vsan.health.test.perfsvc.statsdb,Virtual SAN Health Alarm Stats DB object
alarm-156,alarm.vsan.health.test.hcl.cimproviderinstall,Virtual SAN Health Alarm CIM Provider Installation
alarm-157,alarm.vsan.health.test.limits.nodecomponentlimit,Virtual SAN Health Alarm Host component limit
alarm-158,alarm.vsan.health.test.physicaldisks.physdiskhostissues,Virtual SAN Health Alarm Physical disk health retrieval issues
alarm-159,alarm.vsan.health.test.cluster,Virtual SAN Health Alarm Cluster health
alarm-16,alarm.PowerHealthAlarm,Host hardware power status
alarm-160,alarm.vsan.health.test.physicaldisks.lsomslab,Virtual SAN Health Alarm Memory pools (slabs)
alarm-161,alarm.vsan.health.test.cluster.clomdliveness,Virtual SAN Health Alarm Virtual SAN CLOMD liveness
alarm-162,alarm.vsan.health.test.cluster.physdiskdedupconfig,Virtual SAN Health Alarm Space efficiency configuration consistency
alarm-163,alarm.vsan.health.test.iscsi.iscsiInstallStatusTest,Virtual SAN Health Alarm Service installation status
alarm-164,alarm.vsan.health.test.hcl.controllerfirmware,Virtual SAN Health Alarm Controller Firmware
alarm-165,alarm.vsan.health.test.hcl,Virtual SAN Health Alarm Virtual SAN HCL health
alarm-166,alarm.vsan.health.test.physicaldisks.physdiskmetadata,Virtual SAN Health Alarm Metadata health
alarm-167,alarm.vsan.health.test.data.objecthealth,Virtual SAN Health Alarm Virtual SAN object health
alarm-168,alarm.vsan.health.test.stretchedcluster.clusterwithmultipleunicastagents,Virtual SAN Health Alarm Unicast agent configuration inconsistent
alarm-169,alarm.vsan.health.test.hcl.controllerraid,Virtual SAN Health Alarm Controller RAID Setting
alarm-17,alarm.SystemBoardHealthAlarm,Host hardware system board status
alarm-170,alarm.vsan.health.test.physicaldisks,s
alarm-171,alarm.vsan.health.test.stretchedcluster.witnesswithnodiskmapping,Virtual SAN Health Alarm No disk claimed on witness host
alarm-172,alarm.vsan.health.test.iscsi.iscsiServiceNetworkTest,Virtual SAN Health Alarm Network configuration
alarm-173,alarm.vsan.health.test.stretchedcluster.witnesspreferredfaultdomaininvalid,Virtual SAN Health Alarm Invalid preferred fault domain on witness host
alarm-174,alarm.vsan.health.test.stretchedcluster.witnessinsidevccluster,Virtual SAN Health Alarm Witness host within vCenter cluster
alarm-175,alarm.vsan.health.test.stretchedcluster.witnessfaultdomaininvalid,Virtual SAN Health Alarm Witness host fault domain misconfigured
alarm-176,alarm.vsan.health.test.iscsi.iscsiServiceRunningTest,Virtual SAN Health Alarm Service runtime status
alarm-177,alarm.vsan.health.test.hcl.controllerdriver,Virtual SAN Health Alarm Controller Driver
alarm-178,alarm.vsan.health.test.iscsi,Virtual SAN Health Alarm iSCSI target service
alarm-179,alarm.vsan.health.test.perfsvc.hostsmissing,Virtual SAN Health Alarm All hosts contributing stats
alarm-18,alarm.BatteryHealthAlarm,Host battery status
alarm-180,alarm.vsan.health.test.perfsvc,Virtual SAN Health Alarm Virtual SAN Performance Service health
alarm-181,alarm.vsan.health.test.physicaldisks.lsomheap,Virtual SAN Health Alarm Memory pools (heaps)
alarm-182,alarm.vsan.health.test.stretchedcluster.siteconnectivity,Virtual SAN Health Alarm Site Latency Health
alarm-183,alarm.vsan.health.test.stretchedcluster.hostwithnostretchedclustersupport,Virtual SAN Health Alarm Unsupported host version
alarm-19,alarm.OtherHealthAlarm,Status of other host hardware objects
alarm-2,alarm.VmFaultToleranceLatencyStatusAlarm,Virtual Machine Fault Tolerance vLockStep interval Status Changed
alarm-20,alarm.StorageHealthAlarm,Host storage status
alarm-21,alarm.HostErrorAlarm,Host error
alarm-22,alarm.VmErrorAlarm,Virtual machine error
alarm-23,alarm.HostConnectivityAlarm,Host connection failure
alarm-24,alarm.StorageConnectivityAlarm,Cannot connect to storage
alarm-25,alarm.MigrationErrorAlarm,Migration error
alarm-26,alarm.ExitStandbyErrorAlarm,Exit standby error
alarm-27,alarm.LicenseError,License error
alarm-28,alarm.HealthStatusChangedAlarm,Health status changed alarm
alarm-29,alarm.VmFaultToleranceStateChangedAlarm,Virtual machine Fault Tolerance state changed
alarm-3,alarm.HostCPUUsageAlarm,Host CPU usage
alarm-30,alarm.NetworkConnectivityLostAlarm,Network connectivity lost
alarm-31,alarm.NetworkRedundancyLostAlarm ,Network uplink redundancy lost
alarm-32  ,alarm.NetworkRedundancyDegradedAlarm,Network uplink redundancy degraded
alarm-33,alarm.MigrateBindToVMKAlarm,VMKernel NIC not configured correctly
alarm-34,alarm.IormNonVIWorkloadAlarm,Unmanaged workload detected on SIOC-enabled datastore
alarm-35,alarm.SELHealthAlarm,Host IPMI System Event Log status
alarm-36,alarm.BMCHealthAlarm,Host Baseboard Management Controller status
alarm-37,alarm.LicenseUserThresholdExceededAlarm,License user threshold monitoring
alarm-38,alarm.ThinProvisionedLunAlarm,Thin-provisioned volume capacity threshold exceeded
alarm-39,alarm.LunCapabilityAlarm,Datastore capability alarm
alarm-4,alarm.HostMemoryUsageAlarm,Host memory usage
alarm-40,alarm.StoragePodSDRSRecommendation,Storage DRS recommendation
alarm-41,alarm.StoragePodSDRSNotSupportedHost,Storage DRS is not supported on a host
alarm-42,alarm.DatastoreInMultipleDatacenters,Datastore is in multiple datacenters
alarm-43,alarm.StoragePodOutOfSpace,Datastore cluster is out of space
alarm-44,alarm.HAinsufficientFailoverResources,Insufficient vSphere HA failover resources
alarm-45,alarm.HAfailoverInProgress,vSphere HA failover in progress
alarm-46,alarm.HAcannotFindMaster,Cannot find vSphere HA master agent
alarm-47,alarm.HAhostStatus,vSphere HA host status
alarm-48,alarm.HAfailoverFailed,vSphere HA virtual machine failover failed
alarm-49,alarm.HAvmMonitoringAction,vSphere HA virtual machine monitoring action
alarm-5,alarm.VmCPUUsageAlarm,Virtual machine CPU usage
alarm-50,alarm.HAvmMonitoringError,vSphere HA virtual machine monitoring error
alarm-51,alarm.LicenseCapacityExceededAlarm,License capacity monitoring
alarm-52,alarm.HostLicenseEditionNotAllowed,The host license edition is not compatible with the vCenter Server license edition
alarm-53,alarm.VdsHCVlanTrunkedAlarm,vSphere Distributed Switch VLAN trunked status
alarm-54,alarm.VdsHCMTUMatchAlarm,vSphere Distributed Switch MTU matched status
alarm-55,alarm.VdsHCMTUSupportedAlarm,vSphere Distributed Switch MTU supported status
alarm-56,alarm.VdsHCTeamingMatchAlarm,vSphere Distributed Switch teaming matched status
alarm-57,alarm.VmDiskConsolidationNeededAlarm,Virtual machine Consolidation Needed status
alarm-58,alarm.VFlashResourceHealthAlarm,Host virtual flash resource status
alarm-59,alarm.VFlashResourceUsageAlarm,Host virtual flash resource usage
alarm-6,alarm.VmMemoryUsageAlarm,Virtual machine memory usage
alarm-60,alarm.HostVendorProviderRegistrationAlarm,Registration/unregistration of a VASA vendor provider on a Virtual SAN host fails
alarm-61,alarm.VsanClusterLicenseExpiryAlarm,Expired Virtual SAN license
alarm-62,alarm.VmStorageComplianceAlarm,VM storage compliance alarm
alarm-63,alarm.DatastoreStorageComplianceAlarm,Datastore compliance alarm
alarm-64,alarm.VmcpTerminateVmAborted,vSphere HA VM Component Protection could not power off a virtual machine
alarm-65,alarm.ServiceControlAgentHealthAlarm,Service Control Agent Health Alarm
alarm-66,alarm.IdentityHealthAlarm,Identity Health Alarm
alarm-67,alarm.VsphereClientHealthAlarm,vSphere Client Health Alarm
alarm-68,alarm.EAMHealthAlarm,ESX Agent Manager Health Alarm
alarm-69,alarm.MsgBusHealthAlarm,Message Bus Config Health Alarm
alarm-7,alarm.DatastoreDiskUsageAlarm,Datastore usage on disk
alarm-70,alarm.LicenseHealthAlarm,Cis License Health Alarm
alarm-71,alarm.ApplmgmtHealthAlarm,Appliance Management Health Alarm
alarm-72,alarm.InventoryHealthAlarm,Inventory Health Alarm
alarm-73,alarm.VCServerHealthAlarm,vCenter Server Health Alarm
alarm-74,alarm.DSHealthAlarm,Data Service Health Alarm
alarm-75,alarm.RBDHealthAlarm,RBD Health Alarm
alarm-76,alarm.VSMHealthAlarm,vService Manager Health Alarm
alarm-77,alarm.PerfchartsHealthAlarm,Performance Charts Service Health Alarm
alarm-78,alarm.ContentLibraryServiceHealthAlarm,Content Library Service Health Alarm
alarm-79,alarm.VdcsHealthAlarm,Virtual Datacenter Service Health Alarm
alarm-8,alarm.LicenseNonComplianceAlarm,License inventory monitoring
alarm-80,alarm.TsHealthAlarm,Transfer Service Health Alarm
alarm-81,alarm.NetdumperHealthAlarm,VMware vSphere ESXi Dump Collector Health Alarm
alarm-82,alarm.VapiEndpointHealthAlarm,VMware vAPI Endpoint Service Health Alarm
alarm-83,alarm.VwsHealthAlarm,VMware System and Hardware Health Manager Service Health Alarm
alarm-84,alarm.SpsHealthAlarm,VMware vSphere Profile-Driven Storage Service Health Alarm
alarm-85,alarm.VmwareSyslogHealthAlarm,VMware Common Logging Service Health Alarm
alarm-86,alarm.VmwareVpostgresHealthAlarm,PostgreSQL Service Health Alarm
alarm-87,alarm.HostCertManagementModeChangedAlarm,vSphere vCenter Host Certificate Management Mode
alarm-88,alarm.HostCertStatusAlarm,ESXi Host Certificate Status
alarm-89,alarm.CertificateStatusAlarm,Certificate Status
alarm-9,alarm.VmTimedoutStartingSecondaryAlarm,Timed out starting Secondary VM
alarm-90,alarm.VasaProviderDisconnectedAlarm,VASA provider disconnected
